id,date,attack_type,platform,description,impact,mitigation,source
635,2020-04-25,Fake Investment Scam,LinkedIn,"Hackers orchestrated unpatched security flaws to harvest PII via command and control servers, targeting multiple organizations.",The service was temporarily unavailable.,Run full malware scan and isolate infected hosts.,Internal SOC Report
636,2021-07-03,Phishing Scam,WhatsApp,"Attackers installed IoT devices to gain unauthorized access using cloud services, targeting multiple organizations.",Critical infrastructure systems were compromised.,Educate employees regarding phishing indicators.,CERT Advisory
637,2023-05-11,DDoS Attack,LinkedIn,Cybercriminals conducted mobile applications to deploy ransomware through SQL injection during business hours.,Customer data was potentially leaked.,Educate employees regarding phishing indicators.,Threat Intelligence Platform
638,2024-09-13,Credential Harvesting,Banking App,Unauthorized users harvested vulnerable systems to harvest PII through email attachments during business hours.,Customer data was potentially leaked.,Deploy endpoint detection and response (EDR) solutions.,CERT Advisory
639,2023-07-24,Social Engineering,Banking App,A group of attackers initiated backup systems to gain unauthorized access through USB drives.,Internal systems experienced minor disruption.,Verify sender identity before responding.,CERT Advisory
640,2024-03-19,Social Engineering,Facebook,Sophisticated threat actors compromised zero-day exploits to steal credentials via command and control servers.,Critical infrastructure systems were compromised.,Implement email filtering enhancements.,External Threat Feed
641,2022-08-30,Ransomware Attack,Banking App,Security teams detected that scammers executed backup systems to bypass security controls using social media.,The service was temporarily unavailable.,Patch outdated systems immediately.,User Incident Report
642,2024-09-11,Fake Investment Scam,Website,Unauthorized users installed employee email accounts to encrypt critical files via command and control servers during business hours.,Critical infrastructure systems were compromised.,Block malicious IP ranges and update firewall rules.,CERT Advisory
643,2021-05-31,Credential Harvesting,SMS,Forensic analysis showed cybercriminals exploited network protocols to harvest PII via SMS messages.,Critical infrastructure systems were compromised.,Enable advanced threat protection on email gateways.,Internal SOC Report
644,2024-03-21,Account Takeover,LinkedIn,"Hackers initiated outdated software versions to install backdoors through compromised websites, targeting multiple organizations.","No direct financial loss, but credentials were exposed.",Educate employees regarding phishing indicators.,Threat Intelligence Platform
645,2022-01-27,DDoS Attack,VPN,An investigation revealed that attackers launched backup systems to move laterally across networks through compromised websites.,Sensitive intellectual property was exfiltrated.,Patch outdated systems immediately.,CERT Advisory
646,2022-11-03,Social Engineering,WhatsApp,"Sophisticated threat actors targeted cloud infrastructure to encrypt critical files, resulting in credential theft.",Sensitive intellectual property was exfiltrated.,Conduct security awareness training for all staff.,Threat Intelligence Platform
647,2024-10-09,Identity Theft,SMS,"Cybercriminals executed exposed APIs to harvest PII, resulting in system compromise.",The service was temporarily unavailable.,Deploy intrusion detection systems (IDS) and monitor alerts.,Law Enforcement Notification
648,2024-01-24,Business Email Compromise,Instagram,Unauthorized users perpetrated vulnerable systems to encrypt critical files using social media during business hours.,Several users reported financial loss.,Run full malware scan and isolate infected hosts.,Threat Intelligence Platform
649,2022-06-09,Identity Theft,VPN,A advanced campaign distributed IoT devices to establish persistence via malicious links.,Sensitive intellectual property was exfiltrated.,Implement email filtering enhancements.,CERT Advisory
650,2021-01-17,Identity Theft,Instagram,Scammers leveraged social engineering tactics to exfiltrate sensitive data through third-party vendors.,Ransomware encrypted critical business files.,Verify sender identity before responding.,Law Enforcement Notification
651,2024-03-01,Account Takeover,SMS,Security teams detected that unauthorized users targeted malware payloads to deploy ransomware via cross-site scripting.,Two devices were infected and required isolation.,Educate employees regarding phishing indicators.,Threat Intelligence Platform
652,2023-04-10,Social Engineering,Instagram,Multiple attackers deployed authentication mechanisms to steal credentials using privilege escalation.,Sensitive intellectual property was exfiltrated.,Deploy intrusion detection systems (IDS) and monitor alerts.,Threat Intelligence Platform
653,2023-08-22,Business Email Compromise,WhatsApp,Forensic analysis showed malicious actors compromised employee email accounts to move laterally across networks using social media.,Two devices were infected and required isolation.,Implement email filtering enhancements.,External Threat Feed
654,2021-09-28,Identity Theft,Banking App,"Attackers leveraged authentication mechanisms to establish persistence, resulting in unauthorized access.",Two devices were infected and required isolation.,Educate employees regarding phishing indicators.,Threat Intelligence Platform
655,2022-02-01,Phishing Scam,SMS,Multiple a group of attackers compromised mobile applications to steal credentials using fake apps.,Two devices were infected and required isolation.,Implement email filtering enhancements.,Internal SOC Report
656,2024-02-29,Credential Harvesting,Instagram,"Sophisticated threat actors distributed unpatched security flaws to encrypt critical files via command and control servers, targeting multiple organizations.",Several users reported financial loss.,Patch outdated systems immediately.,External Threat Feed
657,2023-03-09,DDoS Attack,Website,Threat actors leveraged remote access tools to establish persistence using social media.,The service was temporarily unavailable.,Enable MFA and reset all compromised credentials.,Law Enforcement Notification
658,2022-12-09,Business Email Compromise,VPN,Security teams detected that hackers impersonated stolen credentials to gain unauthorized access through email attachments.,Customer data was potentially leaked.,Verify sender identity before responding.,User Incident Report
659,2020-05-29,Ransomware Attack,SMS,Security teams detected that scammers targeted backup systems to steal credentials via network shares.,Multiple corporate accounts were accessed unlawfully.,Patch outdated systems immediately.,External Threat Feed
660,2022-03-17,Identity Theft,LinkedIn,"Cybercriminals deployed compromised accounts to harvest PII, resulting in financial loss.",Multiple corporate accounts were accessed unlawfully.,Deploy intrusion detection systems (IDS) and monitor alerts.,Threat Intelligence Platform
661,2024-10-25,DDoS Attack,Website,Attackers initiated file sharing services to install backdoors via man-in-the-middle attacks.,Ransomware encrypted critical business files.,Patch outdated systems immediately.,CERT Advisory
662,2020-10-07,Ransomware Attack,Website,Adversaries successfully conducted outdated software versions to exfiltrate sensitive data using cloud services.,Two devices were infected and required isolation.,Run full malware scan and isolate infected hosts.,Internal SOC Report
663,2023-10-02,Fake Investment Scam,Facebook,An investigation revealed that malicious actors compromised phishing techniques to move laterally across networks via supply chain attacks.,Two devices were infected and required isolation.,Deploy intrusion detection systems (IDS) and monitor alerts.,External Threat Feed
664,2023-09-02,Phishing Scam,Website,Scammers successfully launched network protocols to encrypt critical files through USB drives.,Internal systems experienced minor disruption.,Conduct security awareness training for all staff.,Internal SOC Report
665,2023-07-22,Fake Investment Scam,VPN,Security teams detected that adversaries launched malware payloads to exfiltrate sensitive data via supply chain attacks.,Multiple corporate accounts were accessed unlawfully.,Educate employees regarding phishing indicators.,Internal SOC Report
666,2021-05-06,Social Engineering,WhatsApp,Attackers conducted exposed APIs to escalate privileges through third-party vendors during business hours.,Sensitive intellectual property was exfiltrated.,Deploy endpoint detection and response (EDR) solutions.,External Threat Feed
667,2020-07-28,Social Engineering,VPN,A persistent campaign initiated file sharing services to establish persistence through third-party vendors.,"No direct financial loss, but credentials were exposed.",Deploy endpoint detection and response (EDR) solutions.,CERT Advisory
668,2024-10-24,Phishing Scam,SMS,A sophisticated campaign targeted backup systems to bypass security controls through email attachments.,Several users reported financial loss.,Block malicious IP ranges and update firewall rules.,User Incident Report
669,2021-05-30,Business Email Compromise,Email,Attackers initiated database systems to exfiltrate sensitive data.,Ransomware encrypted critical business files.,Enable MFA and reset all compromised credentials.,Law Enforcement Notification
670,2020-08-14,Account Takeover,LinkedIn,"Attackers distributed web applications to gain unauthorized access via phishing emails, targeting multiple organizations.",Customer data was potentially leaked.,Deploy endpoint detection and response (EDR) solutions.,CERT Advisory
671,2020-09-15,Identity Theft,Instagram,Hackers installed malware payloads to harvest PII using cloud services.,The service was temporarily unavailable.,Educate employees regarding phishing indicators.,User Incident Report
672,2020-12-02,Identity Theft,Website,A targeted campaign leveraged social engineering tactics to gain unauthorized access through USB drives.,Multiple corporate accounts were accessed unlawfully.,Deploy intrusion detection systems (IDS) and monitor alerts.,User Incident Report
673,2022-09-19,Fake Investment Scam,LinkedIn,"A group of attackers leveraged weak authentication to deploy ransomware via man-in-the-middle attacks, targeting multiple organizations.",The service was temporarily unavailable.,Deploy intrusion detection systems (IDS) and monitor alerts.,Law Enforcement Notification
674,2023-11-15,DDoS Attack,SMS,Multiple hackers impersonated social engineering tactics to escalate privileges through compromised websites.,Multiple corporate accounts were accessed unlawfully.,Enable MFA and reset all compromised credentials.,Internal SOC Report
675,2021-04-23,Business Email Compromise,Instagram,Scammers launched corporate networks to deploy ransomware using cloud services during business hours.,Internal systems experienced minor disruption.,Enable advanced threat protection on email gateways.,Internal SOC Report
676,2020-04-10,Fake Investment Scam,VPN,A advanced campaign leveraged stolen credentials to establish persistence via network shares.,Several users reported financial loss.,Educate employees regarding phishing indicators.,Law Enforcement Notification
677,2024-11-05,Business Email Compromise,Banking App,Threat actors leveraged remote access tools to conduct reconnaissance using fake apps during business hours.,Critical infrastructure systems were compromised.,Run full malware scan and isolate infected hosts.,Threat Intelligence Platform
678,2021-07-21,Phishing Scam,Corporate Network,"A group of attackers executed stolen credentials to steal credentials, resulting in credential theft.",Sensitive intellectual property was exfiltrated.,Verify sender identity before responding.,CERT Advisory
679,2024-05-30,Social Engineering,WhatsApp,"Sophisticated threat actors conducted weak authentication to harvest PII through lateral movement, targeting multiple organizations.",Several users reported financial loss.,Implement email filtering enhancements.,External Threat Feed
680,2024-08-22,Account Takeover,SMS,Sophisticated threat actors targeted remote access tools to harvest PII via SMS messages.,Internal systems experienced minor disruption.,Implement network segmentation to limit lateral movement.,External Threat Feed
681,2021-03-01,Phishing Scam,Email,A widespread phishing scam impersonated mobile applications to gain unauthorized access via phishing emails.,Several users reported financial loss.,Block malicious IP ranges and update firewall rules.,Threat Intelligence Platform
682,2021-11-25,Identity Theft,Website,Cybercriminals launched unpatched security flaws to establish persistence through lateral movement.,Multiple corporate accounts were accessed unlawfully.,Enable advanced threat protection on email gateways.,Threat Intelligence Platform
683,2023-02-26,Fake Investment Scam,VPN,Forensic analysis showed a group of attackers initiated phishing techniques to bypass security controls through deepfake technology.,Critical infrastructure systems were compromised.,Implement email filtering enhancements.,Internal SOC Report
684,2020-04-22,Identity Theft,Website,Hackers deployed database systems to encrypt critical files through lateral movement during business hours.,Sensitive intellectual property was exfiltrated.,Implement network segmentation to limit lateral movement.,Law Enforcement Notification
685,2022-07-08,Phishing Scam,Email,An investigation revealed that threat actors conducted outdated software versions to encrypt critical files using encrypted channels.,"No direct financial loss, but credentials were exposed.",Deploy intrusion detection systems (IDS) and monitor alerts.,Law Enforcement Notification
686,2020-03-24,Account Takeover,SMS,Malicious actors exploited exposed APIs to bypass security controls via network shares during business hours.,Critical infrastructure systems were compromised.,Conduct security awareness training for all staff.,CERT Advisory
687,2021-06-05,Credential Harvesting,LinkedIn,"Malicious actors targeted web applications to conduct reconnaissance, resulting in financial loss.",The service was temporarily unavailable.,Verify sender identity before responding.,Threat Intelligence Platform
688,2024-01-23,Phishing Scam,Website,A large-scale phishing scam conducted compromised accounts to exfiltrate sensitive data using encrypted channels.,Sensitive intellectual property was exfiltrated.,Implement email filtering enhancements.,Threat Intelligence Platform
689,2021-01-24,Social Engineering,Corporate Network,Forensic analysis showed threat actors launched file sharing services to steal credentials using cloud services.,Multiple corporate accounts were accessed unlawfully.,Deploy endpoint detection and response (EDR) solutions.,External Threat Feed
690,2022-07-21,Social Engineering,SMS,Forensic analysis showed cybercriminals conducted file sharing services to bypass security controls through watering hole attacks.,"No direct financial loss, but credentials were exposed.",Educate employees regarding phishing indicators.,Law Enforcement Notification
691,2021-02-22,Identity Theft,Website,"Scammers leveraged vulnerable systems to establish persistence, resulting in financial loss.",The service was temporarily unavailable.,Enable advanced threat protection on email gateways.,External Threat Feed
692,2021-01-10,Malware Infection,Website,"Threat actors leveraged remote access tools to harvest PII using drive-by downloads, targeting multiple organizations.",Sensitive intellectual property was exfiltrated.,Verify sender identity before responding.,CERT Advisory
693,2020-07-30,Account Takeover,Corporate Network,An investigation revealed that unauthorized users launched zero-day exploits to harvest PII using social media.,Internal systems experienced minor disruption.,Enable advanced threat protection on email gateways.,Threat Intelligence Platform
694,2020-12-23,Account Takeover,WhatsApp,Malicious actors successfully launched remote access tools to establish persistence using drive-by downloads.,The service was temporarily unavailable.,Run full malware scan and isolate infected hosts.,External Threat Feed
695,2021-12-23,Credential Harvesting,LinkedIn,Forensic analysis showed scammers launched malware payloads to deploy ransomware using AI-generated content.,Several users reported financial loss.,Deploy endpoint detection and response (EDR) solutions.,Threat Intelligence Platform
696,2023-12-19,Credential Harvesting,Corporate Network,Security teams detected that adversaries harvested network protocols to move laterally across networks using fake apps.,Internal systems experienced minor disruption.,Run full malware scan and isolate infected hosts.,Internal SOC Report
697,2022-09-14,Fake Investment Scam,SMS,An investigation revealed that unauthorized users installed backup systems to exfiltrate sensitive data using cloud services.,Critical infrastructure systems were compromised.,Educate employees regarding phishing indicators.,Law Enforcement Notification
698,2022-12-18,Malware Infection,SMS,A group of attackers successfully exploited corporate networks to exfiltrate sensitive data using AI-generated content.,Critical infrastructure systems were compromised.,Enable MFA and reset all compromised credentials.,User Incident Report
699,2021-12-18,Ransomware Attack,VPN,"Attackers perpetrated vulnerable systems to install backdoors, resulting in financial loss.","No direct financial loss, but credentials were exposed.",Deploy endpoint detection and response (EDR) solutions.,Threat Intelligence Platform
700,2024-04-26,DDoS Attack,Facebook,"Malicious actors compromised social engineering tactics to steal credentials via network shares, targeting multiple organizations.","No direct financial loss, but credentials were exposed.",Enable MFA and reset all compromised credentials.,External Threat Feed
701,2024-09-27,Identity Theft,VPN,"Cybercriminals distributed cloud infrastructure to escalate privileges, resulting in unauthorized access.",Customer data was potentially leaked.,Educate employees regarding phishing indicators.,Threat Intelligence Platform
702,2024-05-18,Identity Theft,Instagram,An investigation revealed that threat actors perpetrated employee email accounts to establish persistence using AI-generated content.,The service was temporarily unavailable.,Enable MFA and reset all compromised credentials.,Threat Intelligence Platform
703,2020-07-02,Malware Infection,Instagram,Adversaries targeted remote access tools to harvest PII via SMS messages during business hours.,Critical infrastructure systems were compromised.,Deploy intrusion detection systems (IDS) and monitor alerts.,External Threat Feed
704,2023-10-22,Account Takeover,Facebook,Forensic analysis showed unauthorized users impersonated social engineering tactics to gain unauthorized access using encrypted channels.,"No direct financial loss, but credentials were exposed.",Deploy endpoint detection and response (EDR) solutions.,CERT Advisory
705,2022-04-05,Account Takeover,SMS,"Attackers impersonated compromised accounts to establish persistence using encrypted channels, targeting multiple organizations.",Two devices were infected and required isolation.,Patch outdated systems immediately.,User Incident Report
706,2022-04-28,Account Takeover,LinkedIn,An investigation revealed that scammers exploited cloud infrastructure to install backdoors via command and control servers.,Critical infrastructure systems were compromised.,Run full malware scan and isolate infected hosts.,User Incident Report
707,2023-12-13,Credential Harvesting,Email,Forensic analysis showed adversaries impersonated misconfigured servers to conduct reconnaissance through email attachments.,Several users reported financial loss.,Deploy intrusion detection systems (IDS) and monitor alerts.,Internal SOC Report
708,2020-04-18,Ransomware Attack,Banking App,Multiple scammers exploited outdated software versions to exfiltrate sensitive data using fake apps.,Ransomware encrypted critical business files.,Block malicious IP ranges and update firewall rules.,User Incident Report
709,2023-07-16,DDoS Attack,Banking App,Security teams detected that a group of attackers executed exposed APIs to gain unauthorized access through email attachments.,Customer data was potentially leaked.,Enable advanced threat protection on email gateways.,Threat Intelligence Platform
710,2023-09-05,DDoS Attack,SMS,Hackers successfully targeted compromised accounts to exfiltrate sensitive data using encrypted channels.,Critical infrastructure systems were compromised.,Deploy intrusion detection systems (IDS) and monitor alerts.,User Incident Report
711,2020-04-02,Business Email Compromise,Corporate Network,Sophisticated threat actors launched web applications to bypass security controls.,Sensitive intellectual property was exfiltrated.,Implement email filtering enhancements.,CERT Advisory
712,2020-10-04,Identity Theft,VPN,Security teams detected that cybercriminals impersonated backup systems to exfiltrate sensitive data via supply chain attacks.,Internal systems experienced minor disruption.,Verify sender identity before responding.,External Threat Feed
713,2021-02-02,Account Takeover,SMS,Adversaries conducted backup systems to steal credentials via command and control servers.,Ransomware encrypted critical business files.,Implement network segmentation to limit lateral movement.,User Incident Report
714,2023-11-14,Identity Theft,Corporate Network,"Threat actors initiated file sharing services to bypass security controls via SMS messages, targeting multiple organizations.",Several users reported financial loss.,Enable advanced threat protection on email gateways.,Threat Intelligence Platform
715,2023-05-23,Identity Theft,LinkedIn,An investigation revealed that threat actors compromised malware payloads to gain unauthorized access via cross-site scripting.,Multiple corporate accounts were accessed unlawfully.,Implement network segmentation to limit lateral movement.,Law Enforcement Notification
716,2022-03-02,Social Engineering,Facebook,"Unauthorized users impersonated remote access tools to steal credentials, resulting in service disruption.",The service was temporarily unavailable.,Deploy intrusion detection systems (IDS) and monitor alerts.,User Incident Report
717,2022-01-11,Fake Investment Scam,VPN,Forensic analysis showed a group of attackers installed file sharing services to encrypt critical files through watering hole attacks.,Several users reported financial loss.,Deploy intrusion detection systems (IDS) and monitor alerts.,External Threat Feed
718,2023-11-03,Fake Investment Scam,Corporate Network,Security teams detected that hackers launched authentication mechanisms to move laterally across networks via malicious links.,Sensitive intellectual property was exfiltrated.,Implement network segmentation to limit lateral movement.,Threat Intelligence Platform
719,2020-06-18,Business Email Compromise,SMS,Malicious actors successfully exploited backup systems to bypass security controls via phishing emails.,Multiple corporate accounts were accessed unlawfully.,Implement email filtering enhancements.,Threat Intelligence Platform
720,2023-12-25,Identity Theft,Email,An investigation revealed that cybercriminals executed employee email accounts to encrypt critical files through watering hole attacks.,Multiple corporate accounts were accessed unlawfully.,Deploy endpoint detection and response (EDR) solutions.,Internal SOC Report
721,2020-02-23,Fake Investment Scam,SMS,Multiple hackers leveraged file sharing services to escalate privileges via network shares.,"No direct financial loss, but credentials were exposed.",Enable MFA and reset all compromised credentials.,Threat Intelligence Platform
722,2024-09-24,Business Email Compromise,WhatsApp,Adversaries leveraged web applications to steal credentials using AI-generated content during business hours.,Sensitive intellectual property was exfiltrated.,Conduct security awareness training for all staff.,Law Enforcement Notification
723,2024-09-09,Phishing Scam,SMS,Scammers successfully impersonated outdated software versions to deploy ransomware through SQL injection.,The service was temporarily unavailable.,Conduct security awareness training for all staff.,Internal SOC Report
724,2020-07-07,Ransomware Attack,LinkedIn,Security teams detected that sophisticated threat actors exploited zero-day exploits to gain unauthorized access using fake apps.,Critical infrastructure systems were compromised.,Enable advanced threat protection on email gateways.,External Threat Feed
725,2022-08-02,Social Engineering,Instagram,A advanced campaign exploited compromised accounts to encrypt critical files via supply chain attacks.,Multiple corporate accounts were accessed unlawfully.,Run full malware scan and isolate infected hosts.,External Threat Feed
726,2024-02-09,Social Engineering,WhatsApp,"Hackers orchestrated IoT devices to deploy ransomware, resulting in unauthorized access.",Two devices were infected and required isolation.,Conduct security awareness training for all staff.,Internal SOC Report
727,2024-02-27,Identity Theft,Corporate Network,Security teams detected that malicious actors harvested malware payloads to establish persistence using drive-by downloads.,The service was temporarily unavailable.,Deploy endpoint detection and response (EDR) solutions.,CERT Advisory
728,2024-06-12,Identity Theft,WhatsApp,Hackers leveraged network protocols to steal credentials through SQL injection during business hours.,Several users reported financial loss.,Implement email filtering enhancements.,External Threat Feed
729,2024-03-02,Account Takeover,Corporate Network,Hackers successfully leveraged social engineering tactics to exfiltrate sensitive data through compromised websites.,Internal systems experienced minor disruption.,Educate employees regarding phishing indicators.,User Incident Report
730,2021-08-07,DDoS Attack,Email,Sophisticated threat actors successfully installed social engineering tactics to escalate privileges using AI-generated content.,Customer data was potentially leaked.,Deploy intrusion detection systems (IDS) and monitor alerts.,CERT Advisory
731,2021-12-14,Identity Theft,WhatsApp,A sophisticated identity theft conducted misconfigured servers to install backdoors via supply chain attacks.,Sensitive intellectual property was exfiltrated.,Patch outdated systems immediately.,User Incident Report
732,2022-03-19,DDoS Attack,VPN,Sophisticated threat actors deployed zero-day exploits to encrypt critical files through email attachments.,Two devices were infected and required isolation.,Conduct security awareness training for all staff.,User Incident Report
733,2024-10-16,Credential Harvesting,WhatsApp,Security teams detected that sophisticated threat actors impersonated stolen credentials to escalate privileges using AI-generated content.,"No direct financial loss, but credentials were exposed.",Patch outdated systems immediately.,Internal SOC Report
734,2021-08-19,Ransomware Attack,Website,Security teams detected that a group of attackers deployed file sharing services to deploy ransomware using fake apps.,Ransomware encrypted critical business files.,Verify sender identity before responding.,Threat Intelligence Platform
735,2021-04-09,Account Takeover,Instagram,An investigation revealed that cybercriminals impersonated backup systems to exfiltrate sensitive data through third-party vendors.,Ransomware encrypted critical business files.,Deploy endpoint detection and response (EDR) solutions.,User Incident Report
736,2024-11-20,Business Email Compromise,Instagram,A widespread business email compromise perpetrated malware payloads to gain unauthorized access via cross-site scripting.,Customer data was potentially leaked.,Enable advanced threat protection on email gateways.,Law Enforcement Notification
737,2022-03-31,Credential Harvesting,VPN,A coordinated campaign perpetrated backup systems to steal credentials using fake apps.,Multiple corporate accounts were accessed unlawfully.,Verify sender identity before responding.,Threat Intelligence Platform
738,2022-06-11,Ransomware Attack,Facebook,A persistent campaign executed phishing techniques to conduct reconnaissance using cloud services.,Multiple corporate accounts were accessed unlawfully.,Verify sender identity before responding.,User Incident Report
739,2021-05-09,Malware Infection,Email,Forensic analysis showed scammers conducted web applications to install backdoors through SQL injection.,Several users reported financial loss.,Deploy endpoint detection and response (EDR) solutions.,Law Enforcement Notification
740,2023-10-25,Account Takeover,VPN,"Adversaries compromised backup systems to steal credentials, resulting in unauthorized access.","No direct financial loss, but credentials were exposed.",Run full malware scan and isolate infected hosts.,CERT Advisory
741,2022-01-13,Identity Theft,Email,"Threat actors launched network protocols to harvest PII using social media, targeting multiple organizations.",Ransomware encrypted critical business files.,Enable advanced threat protection on email gateways.,Threat Intelligence Platform
742,2020-10-16,DDoS Attack,Banking App,An investigation revealed that a group of attackers impersonated zero-day exploits to conduct reconnaissance via phishing emails.,Multiple corporate accounts were accessed unlawfully.,Enable MFA and reset all compromised credentials.,External Threat Feed
743,2020-04-17,DDoS Attack,SMS,Forensic analysis showed cybercriminals exploited stolen credentials to move laterally across networks using social media.,Internal systems experienced minor disruption.,Patch outdated systems immediately.,Internal SOC Report
744,2024-05-31,Ransomware Attack,LinkedIn,"Adversaries launched social engineering tactics to harvest PII, resulting in credential theft.",Internal systems experienced minor disruption.,Patch outdated systems immediately.,User Incident Report
745,2024-12-22,Social Engineering,WhatsApp,Hackers perpetrated web applications to install backdoors.,Several users reported financial loss.,Deploy intrusion detection systems (IDS) and monitor alerts.,Threat Intelligence Platform
746,2022-03-04,Identity Theft,Corporate Network,"Hackers leveraged malware payloads to harvest PII using drive-by downloads, targeting multiple organizations.",Critical infrastructure systems were compromised.,Implement email filtering enhancements.,Law Enforcement Notification
747,2024-07-16,Fake Investment Scam,Instagram,"Unauthorized users compromised vulnerable systems to exfiltrate sensitive data, resulting in unauthorized access.",Customer data was potentially leaked.,Deploy intrusion detection systems (IDS) and monitor alerts.,Threat Intelligence Platform
748,2023-06-30,Identity Theft,Corporate Network,"Malicious actors orchestrated weak authentication to move laterally across networks, resulting in service disruption.",Internal systems experienced minor disruption.,Enable MFA and reset all compromised credentials.,Internal SOC Report
749,2020-02-22,Fake Investment Scam,LinkedIn,Hackers conducted remote access tools to conduct reconnaissance using social media.,Internal systems experienced minor disruption.,Run full malware scan and isolate infected hosts.,External Threat Feed
750,2023-06-11,Ransomware Attack,Corporate Network,"A group of attackers distributed weak authentication to steal credentials through email attachments, targeting multiple organizations.",Two devices were infected and required isolation.,Deploy endpoint detection and response (EDR) solutions.,External Threat Feed
751,2021-11-02,Malware Infection,Banking App,Multiple hackers impersonated stolen credentials to exfiltrate sensitive data through email attachments.,Internal systems experienced minor disruption.,Enable advanced threat protection on email gateways.,External Threat Feed
752,2023-06-16,Ransomware Attack,Email,Forensic analysis showed attackers launched database systems to escalate privileges via man-in-the-middle attacks.,Critical infrastructure systems were compromised.,Implement network segmentation to limit lateral movement.,CERT Advisory
753,2024-01-01,Account Takeover,Banking App,An investigation revealed that hackers deployed weak authentication to conduct reconnaissance using encrypted channels.,Critical infrastructure systems were compromised.,Run full malware scan and isolate infected hosts.,User Incident Report
754,2021-12-26,Business Email Compromise,Banking App,Forensic analysis showed adversaries leveraged mobile applications to establish persistence via SMS messages.,Several users reported financial loss.,Conduct security awareness training for all staff.,CERT Advisory
755,2020-03-05,Ransomware Attack,Corporate Network,Multiple a group of attackers executed file sharing services to exfiltrate sensitive data using fake apps.,Internal systems experienced minor disruption.,Educate employees regarding phishing indicators.,External Threat Feed
756,2024-11-11,Social Engineering,WhatsApp,Malicious actors compromised remote access tools to escalate privileges.,"No direct financial loss, but credentials were exposed.",Enable advanced threat protection on email gateways.,CERT Advisory
757,2021-07-17,DDoS Attack,Banking App,Scammers impersonated backup systems to harvest PII using AI-generated content during business hours.,Ransomware encrypted critical business files.,Run full malware scan and isolate infected hosts.,External Threat Feed
758,2023-07-05,Identity Theft,Banking App,Sophisticated threat actors conducted zero-day exploits to gain unauthorized access via man-in-the-middle attacks during business hours.,Internal systems experienced minor disruption.,Run full malware scan and isolate infected hosts.,External Threat Feed
759,2023-04-19,Business Email Compromise,WhatsApp,A multi-stage business email compromise leveraged database systems to conduct reconnaissance through deepfake technology.,Customer data was potentially leaked.,Run full malware scan and isolate infected hosts.,User Incident Report
760,2022-03-20,Identity Theft,SMS,A advanced campaign launched unpatched security flaws to move laterally across networks using privilege escalation.,Critical infrastructure systems were compromised.,Patch outdated systems immediately.,CERT Advisory
761,2023-06-01,Social Engineering,Website,Malicious actors targeted exposed APIs to conduct reconnaissance.,Multiple corporate accounts were accessed unlawfully.,Patch outdated systems immediately.,Law Enforcement Notification
762,2021-10-07,Phishing Scam,Corporate Network,An investigation revealed that hackers perpetrated compromised accounts to install backdoors via phishing emails.,Multiple corporate accounts were accessed unlawfully.,Verify sender identity before responding.,Internal SOC Report
763,2023-12-12,Account Takeover,Facebook,Multiple adversaries leveraged authentication mechanisms to conduct reconnaissance using social media.,Customer data was potentially leaked.,Run full malware scan and isolate infected hosts.,CERT Advisory
764,2021-05-08,Social Engineering,Website,Security teams detected that scammers executed stolen credentials to exfiltrate sensitive data using social media.,Customer data was potentially leaked.,Educate employees regarding phishing indicators.,User Incident Report
765,2024-08-05,Social Engineering,LinkedIn,Sophisticated threat actors harvested employee email accounts to establish persistence.,Ransomware encrypted critical business files.,Implement network segmentation to limit lateral movement.,Threat Intelligence Platform
766,2021-04-16,Credential Harvesting,Website,Cybercriminals compromised IoT devices to escalate privileges through deepfake technology during business hours.,Sensitive intellectual property was exfiltrated.,Implement email filtering enhancements.,Threat Intelligence Platform
767,2021-01-01,Malware Infection,LinkedIn,Adversaries successfully targeted compromised accounts to escalate privileges through third-party vendors.,Multiple corporate accounts were accessed unlawfully.,Implement email filtering enhancements.,CERT Advisory
768,2021-12-05,Business Email Compromise,Corporate Network,Multiple hackers conducted employee email accounts to harvest PII via SMS messages.,Critical infrastructure systems were compromised.,Block malicious IP ranges and update firewall rules.,User Incident Report
769,2023-03-10,Credential Harvesting,Website,Multiple a group of attackers conducted network protocols to harvest PII using drive-by downloads.,Several users reported financial loss.,Run full malware scan and isolate infected hosts.,External Threat Feed
770,2024-10-22,Business Email Compromise,Email,"Sophisticated threat actors leveraged stolen credentials to exfiltrate sensitive data, resulting in system compromise.",Multiple corporate accounts were accessed unlawfully.,Enable advanced threat protection on email gateways.,Law Enforcement Notification
771,2022-08-25,DDoS Attack,VPN,An investigation revealed that cybercriminals launched database systems to establish persistence through watering hole attacks.,"No direct financial loss, but credentials were exposed.",Deploy endpoint detection and response (EDR) solutions.,External Threat Feed
772,2021-10-09,Social Engineering,Facebook,Forensic analysis showed adversaries conducted file sharing services to move laterally across networks through USB drives.,Ransomware encrypted critical business files.,Run full malware scan and isolate infected hosts.,User Incident Report
773,2020-12-25,Credential Harvesting,Instagram,Sophisticated threat actors deployed web applications to exfiltrate sensitive data through SQL injection.,Several users reported financial loss.,Deploy endpoint detection and response (EDR) solutions.,CERT Advisory
774,2024-06-07,Account Takeover,Facebook,An investigation revealed that cybercriminals compromised compromised accounts to install backdoors through deepfake technology.,"No direct financial loss, but credentials were exposed.",Deploy intrusion detection systems (IDS) and monitor alerts.,Internal SOC Report
